model,framework,params_M,input,epochs_target,epochs_done,best_epoch,mAP50_95,mAP50,mAP75,AP_small,AP_medium,AP_large,AR100,status,notes
YOLO26n,Ultralytics,NA,416,80,80,80,0.4391,0.6939,NA,NA,NA,NA,NA,done,best==last epoch (still rising)
YOLO26s,Ultralytics,NA,448,100,45,45,0.3679,0.6494,NA,NA,NA,NA,NA,done,only 45/100 logged
