epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,53499.6,1.86425,1.33724,0.00857,0.74401,0.54383,0.61376,0.36809,1.52379,1.0937,0.00906,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,55146.6,1.85735,1.32991,0.00856,0.7433,0.5445,0.614,0.36853,1.52172,1.09116,0.00904,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,56787.8,1.85167,1.32368,0.00854,0.74074,0.54646,0.61417,0.36844,1.52008,1.08897,0.00902,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,58464.1,1.85421,1.32443,0.00852,0.7478,0.54562,0.61771,0.3708,1.5168,1.08514,0.009,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,60176.3,1.85051,1.31796,0.00851,0.75209,0.54707,0.61997,0.37238,1.51463,1.08061,0.00899,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,61841.8,1.84969,1.31496,0.00848,0.75258,0.54859,0.6217,0.37358,1.51323,1.07625,0.00897,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,63537.6,1.84351,1.30947,0.00847,0.74917,0.55066,0.62282,0.3745,1.51122,1.07402,0.00896,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,65353.2,1.84342,1.30657,0.00846,0.75225,0.5505,0.62433,0.3759,1.50925,1.07045,0.00894,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,67119.1,1.84066,1.30433,0.00841,0.7547,0.55062,0.62562,0.37693,1.50658,1.068,0.00892,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,68775.9,1.83869,1.30004,0.0084,0.75704,0.55124,0.62744,0.37876,1.5054,1.06335,0.00891,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,70485.7,1.83159,1.29309,0.00838,0.75556,0.55524,0.62925,0.3798,1.50344,1.05995,0.0089,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,72266.6,1.8323,1.28897,0.00838,0.7601,0.55553,0.63121,0.3813,1.50217,1.05551,0.00889,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,73991.3,1.82804,1.28585,0.00834,0.75808,0.55707,0.63238,0.38223,1.50058,1.05329,0.00887,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,75705,1.82579,1.28234,0.00834,0.75748,0.55835,0.63371,0.3838,1.49817,1.0496,0.00885,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,77361.7,1.82232,1.27647,0.00831,0.76234,0.55875,0.63561,0.38516,1.49654,1.04531,0.00884,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
